,MSPP0,MSPP1,MSPP2,MSPP3,MSPP4,MSPP5,MSPP6
it200,7.216558374,7.400421884,7.400421884,7.400421884,7.400421884,7.400421884,7.400421884
it201,6.810282104,7.498974332,8.266479328,7.498974332,8.266479328,7.498974332,8.266479328
it202,6.137611452,6.137611452,6.137611452,6.137611452,6.137611452,6.137611452,6.137611452
it203,7.425802366,7.425802366,7.425802366,7.425802366,7.425802366,7.425802366,7.425802366
it204,6.211444908,7.129963712,8.125943816,7.129963712,8.125943816,7.129963712,8.125943816
it205,7.694420502,7.694420502,7.694420502,7.694420502,7.694420502,7.694420502,7.694420502
it206,7.872602794,7.872602794,7.872602794,7.872602794,7.872602794,7.872602794,7.872602794
it207,6.168996372,6.37139448,6.37139448,6.37139448,6.37139448,6.37139448,6.37139448
it208,8.63376033,8.63376033,9.048443688,8.63376033,9.048443688,8.63376033,9.048443688
it209,9.546335826,9.546335826,9.546335826,9.546335826,9.546335826,9.546335826,9.546335826
it210,9.596773386,10.56101939,10.64608933,10.56101939,10.64608933,10.56101939,10.64608933
it211,5.348548528,5.348548528,6.158828648,5.348548528,6.158828648,5.348548528,6.158828648
it212,5.931930362,6.261088012,6.261088012,6.261088012,8.280455376,6.261088012,6.261088012
it213,10.61484914,10.61484914,11.17102675,10.61484914,11.17102675,10.61484914,11.17102675
it214,9.05665009,9.092162188,9.092162188,9.092162188,10.36989592,9.092162188,9.092162188
it215,9.995446882,10.4208917,10.56887635,10.4208917,10.56887635,10.4208917,10.56887635
it216,8.319422312,8.989141944,10.29770708,8.989141944,10.29770708,8.989141944,10.29770708
it217,9.106668166,9.106668166,9.106668166,9.106668166,9.106668166,9.106668166,9.106668166
it218,5.831939656,5.845393254,6.028919708,5.845393254,6.028919708,5.845393254,6.028919708
it219,6.710511272,6.710511272,7.32794474,6.710511272,7.32794474,6.710511272,7.32794474
it220,7.352995386,7.91900933,7.945840948,7.91900933,7.945840948,7.91900933,7.945840948
it221,7.334366138,7.508942758,7.508942758,7.508942758,7.508942758,7.508942758,7.508942758
it222,8.434287728,8.434287728,8.434287728,8.434287728,8.434287728,8.434287728,8.434287728
it223,5.534563716,5.534563716,5.534563716,5.534563716,5.534563716,5.534563716,5.534563716
it224,9.409763654,9.904851176,10.34278489,9.904851176,10.34278489,9.904851176,10.34278489
it225,8.286699948,8.286699948,8.286699948,8.286699948,8.286699948,8.286699948,8.286699948
it226,6.639079656,6.76296043,7.740594224,6.76296043,7.740594224,6.76296043,7.740594224
it227,7.073882014,7.073882014,7.162500582,7.073882014,7.162500582,7.073882014,7.162500582
it228,8.161280136,9.585520428,10.43967485,9.585520428,10.43967485,9.585520428,10.43967485
it229,5.958497474,6.554452462,6.913592866,6.554452462,8.039732148,6.554452462,6.913592866
it230,5.103491664,5.213153776,5.64982841,5.213153776,5.64982841,5.213153776,5.64982841
